mage_id,peak_counts,N_5,B_5,unc_5,N_10,B_10,unc_10
1010101,"(1398.4539620191758, 2833.7647373654777)",5142.69932601713,10420.936549029364,0.14588160337138856,10059.736137585922,20384.600643364818,0.10430444101480871
1011006,"(4775.659317804556, 8944.06995230979)",17562.094013806476,32891.08098287393,0.03051810696998502,34353.56037802742,64338.895780620216,0.021820257076765465
1011002,"(1403.0913240956993, 2745.209589322807)",5159.752843310613,10095.282281872198,0.08482779597620317,10093.094860955629,19747.58187325967,0.060651347649990466
1010502,"(11128.49882644817, 22315.897306753137)",40924.13834755376,82064.87532360625,0.04254599593786874,80052.51859693906,160528.73006649796,0.030420123039229658
1010702,"(15936.385612381833, 31879.853295361627)",58604.746222472604,117235.53617658035,0.034156862918509875,114637.90628896198,229326.7572378542,0.024421944996481718
1010904,"(2469.6093666856427, 4781.977994304243)",9081.78515025416,17585.33042648705,0.05699953644799162,17765.060035224513,34399.01358567813,0.04075431479989509
1011001,"(449.505375154495, 796.9963323840406)",1653.0190143051707,2930.8884044145084,0.07070934385044274,3233.5032752538946,5733.168930946355,0.05055674200446059
1010901,"(362.18727143436263, 619.8860362986982)",1331.9138758119084,2279.5798701001736,0.06671946457953457,2605.383145942947,4459.1313907360545,0.047704003088442616
1010503,"(57065.3959889048, 116361.46452806995)",209853.2961838162,427909.7070445183,0.02624755495156125,410498.1943105,837042.6639181679,0.018766838888233845
1011102,"(1107.4988590619187, 2125.3235530241086)",4072.735886020087,7815.702411772024,0.07786286268573563,7966.759433935224,15288.450482523616,0.05567146357428441
1010204,"(3209.162818982708, 6464.5258071149965)",11801.432091788303,23772.761502473233,0.08580946637717665,23085.015351456223,46502.37021767599,0.061353235894072974
1010801,"(457.9838024450594, 796.9963323840406)",1684.1977327307063,2930.8884044145084,0.06390845275559925,3294.492584677879,5733.168930946355,0.04569414708051859
1010102,"(1896.9394575410277, 3807.8713658348606)",6975.838700979542,14003.133487758209,0.10489277706060099,13645.576422326618,27391.807114521474,0.0749976845945655
1010701,"(2613.851530798671, 5313.308882560272)",9612.223834911516,19539.256029430057,0.11415822583689501,18802.66166552511,38221.12620630904,0.08162242296477917
